REFERENCE_AREA,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Greece,24.89690856,23.53927201,21.48763789,19.29191132,17.31273388,16.30457083,14.71391273,12.43867366,10.94460902,10.0053571
Japan,3.365953058,3.115680721,2.819760605,2.438312162,2.356955127,2.785289999,2.823086575,2.600632652,2.58953083,2.505022507
Spain,22.05727897,19.6347062,17.22351757,15.25473706,14.10415782,15.53191677,14.78053626,12.91717115,12.04787858,11.97949045
Canada,6.949129421,7.031149541,6.410129256,5.836144671,5.70106775,9.669435138,7.492224796,5.266998637,5.355820196,5.978435678
Korea,3.596696865,3.687701432,3.689390948,3.868524696,3.760411625,3.978312872,3.614803461,2.867766823,2.655166374,2.862632803
Austria,5.722126579,6.013651953,5.499636759,4.847904033,4.486532725,5.36253111,6.181400239,4.741023469,5.092226475,5.462659248
Italy,11.98749693,11.67705732,11.26968279,10.58369694,9.870030919,9.327311623,9.487945556,8.098182983,7.597416937,7.780392349
Germany,4.359656549,3.930286324,3.55179455,3.2139991,2.994675269,3.670511222,3.577602113,3.055222432,2.976628374,2.982197156
Belgium,8.658883352,7.850221638,7.108652912,5.966708034,5.374745254,5.569425821,6.265447052,5.558991079,5.596649037,5.661223107
U.S,5.277789121,4.869153252,4.356773357,3.896420402,3.669003416,8.055300982,5.350612159,3.648513204,3.63085476,4.064361846
Mexico,4.352833956,3.884693716,3.418867167,3.287277394,3.466848344,4.406568722,4.13417946,3.271706832,2.830449741,3.034206209
France,10.40642225,10.10867075,9.476848256,9.096605173,8.523213366,8.139570495,7.923330323,7.31266209,7.167549747,7.412075488
U.K,5.384807313,4.893376377,4.402346924,4.080516274,3.827968655,4.554429283,4.492204769,3.711109804,4.288708071,4.737019999
Czechia,4.881270786,3.83564239,2.807786294,2.176567959,1.959218662,2.510446537,2.733511908,2.165053239,2.562971258,2.651121624
